"Run","Cell_type","simplified_cell_type"
"SRR8245064","CD62L-Slamf7hiCX3CR1-","memory_precursor_like"
"SRR8245065","CD62L-Slamf7hiCX3CR1-","memory_precursor_like"
"SRR8245066","CD62L-Slamf7hiCX3CR1-","memory_precursor_like"
"SRR8245067","CD62L-Slamf7hiCX3CR1-","memory_precursor_like"
"SRR8245068","CD62L-Slamf7hiCX3CR1-","memory_precursor_like"
"SRR8245069","CD62L-Slamf7hiCX3CR1+","effector_like"
"SRR8245070","CD62L-Slamf7hiCX3CR1+","effector_like"
"SRR8245071","CD62L-Slamf7hiCX3CR1+","effector_like"
"SRR8245072","CD62LhiSlamf7-CX3CR1-","naive_like"
"SRR8245073","CD62LhiSlamf7-CX3CR1-","naive_like"
"SRR8245074","CD62LhiSlamf7-CX3CR1-","naive_like"
"SRR8245075","CD62LhiSlamf7-CX3CR1-","naive_like"
"SRR8245076","CD62LhiSlamf7-CX3CR1-","naive_like"
"SRR8245077","CD62LhiSlamf7-CX3CR1-","naive_like"
